Scraping_Date,Type,Description,Bedrooms,Bathrooms,Area,Down Payment,Price,Location
2025-03-31,Twin House,Twin House with installment 10Y NEXT TO HYDE PARK,5,5, 211 sqm,Cash,"21,101,500 EGP","Ever, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Duplex,Immediate Duplex with garden F.F+Ac`s | Eastown,3,3, 240 sqm,Cash,"20,000,000 EGP","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Townhouse,Townhouse ready to move with sea view in zahia,5,4, 392 sqm,Cash,"7,500,000 EGP","Zahya New Mansoura, New Mansoura, Al Daqahlya"
2025-03-31,Townhouse,Prime location Town house Green Valley Over 6years,3,3, 181 sqm,Cash,"6,000,000 EGP","O West, 6 October Compounds, 6 October City, Giza"
2025-03-31,Apartment,immediately receive dp 25% at new cairo inst 5y,2,2, 130 sqm,Cash,"3,750,000 EGP","District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Apartment,Apartment 2BR + Garden 20m /Overlooking landscape,2,2, 120 sqm,Cash,"7,200,000 EGP","El Patio Oro, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Apartment,ready to move apt at marrasem FF inst 6y,1,1, 115 sqm,Cash,"3,500,000 EGP","Moon Residences, Fifth Square, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Twin House,Twin house iconic tower view Over 8Y Delivery Soon,4,5, 365 sqm," 2,900,000 EGP","29,700,000 EGP","IL Bosco, New Capital Compounds, New Capital City, Cairo"
2025-03-31,Villa,OWN Villa -Garden view-INST 6Y-Immediate Delivery,4,4, 211 sqm," 12,000,000 EGP","26,900,000 EGP","Madinaty, Cairo"
2025-03-31,Apartment,Fully finished apartment with ACS at swan lake,3,3, 155 sqm,Cash,"5,000,000 EGP","Swan Lake, The 1st Settlement, New Cairo City, Cairo"
2025-03-31,Apartment,"APT for sale in the Fifth Settlement a 325,000 D P",2,2, 130 sqm," 325,000 EGP","6,500,000 EGP","Azzar 2, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo"
2025-03-31,Twin House,RTM F.Finished Twin House Land530M in Sheikh Zayed,5,4, 300 sqm,Cash,"19,000,000 EGP","Hadayek Al Mohandessin, 4th District, Sheikh Zayed City, Giza"
2025-03-31,Chalet,"Fully Finished Chalet in Lyv, 8-Yrs plan,Pool View",3,3, 120 sqm,Cash,"2,980,007 EGP","Hacienda West, Ras Al Hekma, North Coast"
2025-03-31,Apartment,"ReadyToMove Finished Chalet, Sea View, Installment",2,2, 145 sqm," 302,500 EGP","6,050,000 EGP","Latin District, New Alamein City, Al Alamein, North Coast"
